hhid,caso,p10d01,p10d03,p10d04,p10d06,p10e05a
2426.0,2.0,,,,,
2426.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,
2426.0,4.0,no,,,,
2426.0,5.0,,,,,
2426.0,6.0,,,,,
2426.0,8.0,no,,,,
2427.0,1.0,no,,,,
2427.0,2.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,
2427.0,3.0,,,,,
2427.0,5.0,no,,,,
2427.0,6.0,,,,,
2427.0,7.0,,,,,
2427.0,8.0,no,,,,
2427.0,9.0,,,,,
2427.0,10.0,no,,,,
2427.0,11.0,no,,,,
2427.0,12.0,no,,,,
2428.0,1.0,si," profesionales, cientificos  e  intelectuales", industria manufacturera,como jornalero o peon,
2428.0,2.0,no,,,,
2428.0,3.0,,,,,
2428.0,4.0,,,,,
2429.0,1.0,no,,,,
2429.0,2.0,,,,,
2429.0,3.0,,,,,
2429.0,4.0,,,,,
2429.0,5.0,,,,,
2430.0,1.0,no,,,,
2430.0,2.0,,,,,
2430.0,3.0,no,,,,
2430.0,4.0,no,,,,
2430.0,5.0,,,,,
2430.0,6.0,no,,,,
2430.0,8.0,,,,,
2431.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2431.0,2.0,,,,,
2432.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2432.0,2.0,,,,,
2432.0,3.0,no,,,,
2432.0,4.0,,,,,
2433.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,
2433.0,2.0,,,,,
2434.0,1.0,no,,,,
2434.0,2.0,,,,,
2434.0,3.0,,,,,
2434.0,4.0,,,,,
2435.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2435.0,2.0,,,,,
2435.0,3.0,no,,,,
2435.0,4.0,,,,,
2435.0,5.0,,,,,
2435.0,6.0,,,,,
2436.0,1.0,no,,,,
2436.0,2.0,,,,,
2436.0,3.0,,,,,
2437.0,1.0,no,,,,
2437.0,2.0,,,,,
2437.0,3.0,,,,,
2438.0,1.0,no,,,,
2438.0,2.0,,,,,
2439.0,1.0,no,,,,
2439.0,2.0,no,,,,
2439.0,3.0,,,,,
2440.0,1.0,no,,,,
2440.0,2.0,,,,,
2440.0,3.0,no,,,,
2440.0,4.0,no,,,,
2441.0,1.0,,,,,
2441.0,2.0,,,,,
2441.0,3.0,no,,,,
2442.0,1.0,no,,,,
2442.0,2.0,,,,,
2443.0,1.0,no,,,,
2443.0,2.0,,,,,
2443.0,3.0,no,,,,
2443.0,4.0,no,,,,
2443.0,5.0,no,,,,
2443.0,6.0,,,,,
2443.0,7.0,,,,,
2443.0,8.0,,,,,
2444.0,1.0,no,,,,
2444.0,2.0,,,,,
2444.0,3.0,,,,,
2445.0,1.0,no,,,,
2445.0,2.0,,,,,
2446.0,1.0,no,,,,
2446.0,2.0,,,,,
2447.0,1.0,no,,,,
2447.0,2.0,,,,,
2447.0,3.0,no,,,,
2447.0,4.0,no,,,,
2447.0,5.0,,,,,
2447.0,6.0,,,,,
2448.0,1.0,no,,,,
2448.0,2.0,,,,,
2448.0,3.0,,,,,
2449.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2449.0,2.0,no,,,,
2449.0,3.0,no,,,,
2449.0,4.0,no,,,,
2450.0,1.0,si, trabajadores no calificados, construccion,como empleado u obrero de una empresa privada,
2451.0,1.0,no,,,,
2451.0,2.0,no,,,,
2451.0,3.0,no,,,,
2452.0,1.0,no,,,,
2452.0,2.0,no,,,,
2452.0,3.0,,,,,
2452.0,4.0,no,,,,
2452.0,5.0,,,,,
2453.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2453.0,2.0,no,,,,
2453.0,3.0,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
2454.0,1.0,no,,,,
2454.0,2.0,no,,,,
2455.0,1.0,no,,,,
2455.0,2.0,,,,,
2455.0,3.0,no,,,,
2455.0,4.0,,,,,
2455.0,5.0,,,,,
2456.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,
2456.0,2.0,,,,,
2456.0,3.0,no,,,,
2456.0,4.0,si, trabajadores no calificados," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,
2456.0,5.0,no,,,,
2456.0,6.0,,,,,
2456.0,7.0,,,,,
2457.0,1.0,si, empleados de oficina, administracion publica y defensa,como empleado de gobierno,
2457.0,2.0,no,,,,
2457.0,3.0,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,
2458.0,1.0,no,,,,
2458.0,2.0,,,,,
2458.0,3.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
2458.0,4.0,no,,,,
2458.0,5.0,,,,,
2458.0,6.0,si, trabajadores no calificados, construccion,como empleado u obrero de una empresa privada,
2458.0,7.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,
2459.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2459.0,2.0,,,,,
2459.0,3.0,,,,,
2459.0,4.0,,,,,
2460.0,1.0,no,,,,
2460.0,2.0,,,,,
2460.0,3.0,,,,,
2460.0,4.0,,,,,
2461.0,1.0,no,,,,
2461.0,2.0,,,,,
2461.0,3.0,,,,,
2461.0,4.0,,,,,
2461.0,5.0,,,,,
2462.0,1.0,no,,,,
2462.0,2.0,,,,,
2462.0,3.0,,,,,
2462.0,4.0,,,,,
2463.0,1.0,no,,,,
2463.0,2.0,si, operarios y artesanos de artes mecanicas y otros oficios, explotacion de minas y canteras,como empleado u obrero de una empresa privada,
2463.0,3.0,si, operarios y artesanos de artes mecanicas y otros oficios, explotacion de minas y canteras,como empleado u obrero de una empresa privada,
2463.0,4.0,,,,,
2463.0,5.0,,,,,
2464.0,1.0,no,,,,
2464.0,2.0,,,,,
2464.0,3.0,,,,,
2464.0,4.0,,,,,
2464.0,5.0,,,,,
2465.0,1.0,no,,,,
2465.0,2.0,no,,,,
2466.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2466.0,2.0,,,,,
2466.0,3.0,,,,,
2466.0,4.0,no,,,,
2466.0,5.0,no,,,,
2466.0,6.0,,,,,
2466.0,7.0,,,,,
2467.0,1.0,no,,,,
2467.0,2.0,no,,,,
2467.0,3.0,,,,,
2467.0,4.0,,,,,
2468.0,1.0,no,,,,
2468.0,2.0,,,,,
2469.0,1.0,no,,,,
2469.0,2.0,,,,,
2469.0,3.0,,,,,
2469.0,4.0,,,,,
2469.0,5.0,no,,,,
2469.0,6.0,no,,,,
2469.0,8.0,no,,,,
2470.0,1.0,no,,,,
2470.0,2.0,,,,,
2471.0,1.0,no,,,,
2471.0,2.0,,,,,
2471.0,3.0,,,,,
2471.0,4.0,,,,,
2471.0,5.0,,,,,
2472.0,1.0,no,,,,
2472.0,2.0,no,,,,
2472.0,3.0,no,,,,
2472.0,4.0,,,,,
2473.0,1.0,no,,,,
2473.0,2.0,si, personal directivo de la admon publica y de las empresas, servicios financieros,como ayudante o trabajador sin pago en otros sitios,
2473.0,3.0,no,,,,
2473.0,4.0,,,,,
2473.0,5.0,,,,,
2473.0,6.0,,,,,
2473.0,7.0,,,,,
2474.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2474.0,2.0,,,,,
2474.0,3.0,,,,,
2475.0,1.0,no,,,,
2475.0,2.0,,,,,
2475.0,3.0,,,,,
2475.0,4.0,,,,,
2475.0,5.0,,,,,
2475.0,6.0,,,,,
2475.0,7.0,,,,,
2476.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2476.0,2.0,,,,,
2476.0,3.0,no,,,,
2476.0,4.0,no,,,,
2476.0,5.0,,,,,
2476.0,6.0,,,,,
2476.0,7.0,,,,,
2477.0,1.0,no,,,,
2477.0,2.0,,,,,
2477.0,3.0,,,,,
2477.0,4.0,no,,,,
2477.0,5.0,no,,,,
2477.0,6.0,no,,,,
2478.0,1.0,,,,,
2478.0,2.0,no,,,,
2479.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,
2479.0,2.0,no,,,,
2479.0,3.0,,,,,
2479.0,4.0,,,,,
2479.0,5.0,,,,,
2480.0,1.0,,,,,
2480.0,2.0,no,,,,
2481.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2481.0,2.0,,,,,
2481.0,3.0,,,,,
2481.0,4.0,,,,,
2481.0,5.0,,,,,
2481.0,6.0,,,,,
2482.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2482.0,2.0,,,,,
2482.0,3.0,,,,,
2483.0,1.0,no,,,,
2483.0,2.0,,,,,
2483.0,3.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
2484.0,1.0,no,,,,
2484.0,2.0,no,,,,
2484.0,3.0,,,,,
2484.0,4.0,,,,,
2484.0,5.0,,,,,
2485.0,1.0,no,,,,
2485.0,2.0,,,,,
2485.0,3.0,no,,,,
2485.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2485.0,5.0,no,,,,
2485.0,6.0,no,,,,
2485.0,7.0,no,,,,
2485.0,8.0,,,,,
2485.0,9.0,,,,,
2486.0,1.0,no,,,,
2486.0,2.0,,,,,
2486.0,3.0,no,,,,
2486.0,4.0,,,,,
2486.0,5.0,,,,,
2486.0,6.0,,,,,
2486.0,7.0,,,,,
2486.0,8.0,,,,,
2487.0,1.0,no,,,,
2487.0,2.0,,,,,
2487.0,3.0,,,,,
2487.0,4.0,,,,,
2487.0,5.0,,,,,
2488.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2488.0,2.0,no,,,,
2488.0,3.0,,,,,
2488.0,4.0,,,,,
2488.0,5.0,,,,,
2488.0,7.0,,,,,
2489.0,1.0,no,,,,
2489.0,2.0,,,,,
2489.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2489.0,4.0,no,,,,
2489.0,5.0,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado (a) domestico (a),
2489.0,6.0,,,,,
2490.0,1.0,no,,,,
2490.0,2.0,,,,,
2490.0,3.0,,,,,
2491.0,1.0,no,,,,
2491.0,2.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
2491.0,3.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
2491.0,4.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),
2491.0,5.0,,,,,
2491.0,6.0,,,,,
2492.0,1.0,no,,,,
2492.0,2.0,,,,,
2492.0,3.0,no,,,,
2492.0,4.0,no,,,,
2492.0,5.0,no,,,,
2492.0,6.0,no,,,,
2492.0,7.0,,,,,
2492.0,8.0,no,,,,
2493.0,1.0,no,,,,
2493.0,2.0,,,,,
2493.0,3.0,no,,,,
2493.0,4.0,no,,,,
2493.0,5.0,no,,,,
2494.0,1.0,no,,,,
2494.0,2.0,,,,,
2494.0,3.0,no,,,,
2494.0,4.0,,,,,
2494.0,5.0,,,,,
2495.0,1.0,no,,,,
2495.0,2.0,,,,,
2495.0,3.0,no,,,,
2495.0,4.0,,,,,
2495.0,5.0,no,,,,
2495.0,6.0,no,,,,
2496.0,1.0,no,,,,
2496.0,2.0,,,,,
2496.0,3.0,,,,,
2497.0,1.0,no,,,,
2497.0,2.0,,,,,
2497.0,3.0,no,,,,
2498.0,1.0,no,,,,
2498.0,2.0,,,,,
2498.0,3.0,no,,,,
2498.0,4.0,no,,,,
2498.0,5.0,no,,,,
2499.0,1.0,no,,,,
2499.0,2.0,,,,,
2499.0,3.0,,,,,
2499.0,4.0,,,,,
2499.0,5.0,,,,,
2499.0,6.0,,,,,
2500.0,1.0,no,,,,
2500.0,2.0,,,,,
2500.0,3.0,no,,,,
2500.0,4.0,,,,,
2501.0,1.0,no,,,,
2501.0,2.0,,,,,
2501.0,3.0,no,,,,
2501.0,4.0,,,,,
2502.0,1.0,no,,,,
2502.0,2.0,,,,,
2502.0,3.0,,,,,
2502.0,4.0,,,,,
2503.0,1.0,no,,,,
2503.0,2.0,,,,,
2504.0,1.0,,,,,
2504.0,2.0,,,,,
2504.0,3.0,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,
2505.0,1.0,,,,,
2505.0,2.0,,,,,
2505.0,3.0,,,,,
2505.0,4.0,,,,,
2506.0,1.0,si, operadores de instalaciones y maquinas y montadores, comercio,como empleado u obrero de una empresa privada,
2506.0,2.0,,,,,
2506.0,3.0,,,,,
2507.0,1.0,no,,,,
2507.0,2.0,no,,,,
2507.0,3.0,no,,,,
2507.0,4.0,no,,,,
2507.0,5.0,si, empleados de oficina, comercio,como empleado u obrero de una empresa privada,
2507.0,6.0,no,,,,
2508.0,1.0,no,,,,
2508.0,2.0,,,,,
2508.0,3.0,,,,,
2508.0,4.0,,,,,
2509.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,trabajador por su cuenta o en su finca,
2509.0,2.0,,,,,
2509.0,3.0,,,,,
2509.0,4.0,no,,,,
2509.0,5.0,,,,,
2510.0,1.0,no,,,,
2510.0,2.0,,,,,
2510.0,3.0,,,,,
2510.0,4.0,,,,,
2511.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,trabajador por su cuenta o en su finca,
2511.0,2.0,,,,,
2511.0,3.0,,,,,
2511.0,4.0,,,,,
2511.0,5.0,,,,,
2512.0,1.0,no,,,,
2512.0,2.0,,,,,
2513.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, explotacion de minas y canteras,trabajador por su cuenta o en su finca,
2513.0,2.0,,,,,
2513.0,3.0,,,,,
2514.0,1.0,,,,,
2514.0,2.0,,,,,
2514.0,3.0,,,,,
2514.0,4.0,,,,,
2514.0,5.0,,,,,
2515.0,1.0,,,,,
2515.0,2.0,,,,,
2515.0,3.0,no,,,,
2515.0,4.0,no,,,,
2515.0,5.0,no,,,,
2515.0,6.0,no,,,,
2515.0,7.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,trabajador por su cuenta o en su finca,
2515.0,8.0,,,,,
2516.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,trabajador por su cuenta o en su finca,
2516.0,2.0,no,,,,
2516.0,3.0,no,,,,
2517.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,trabajador por su cuenta o en su finca,
2517.0,2.0,no,,,,
2517.0,3.0,,,,,
2517.0,4.0,,,,,
2517.0,6.0,,,,,
2517.0,7.0,,,,,
2518.0,1.0,no,,,,
2518.0,2.0,,,,,
2519.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2519.0,2.0,,,,,
2520.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2520.0,2.0,,,,,
2520.0,3.0,,,,,
2520.0,4.0,,,,,
2520.0,5.0,,,,,
2520.0,6.0,,,,,
2520.0,7.0,no,,,,
2521.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2521.0,2.0,,,,,
2521.0,3.0,,,,,
2521.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2521.0,5.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2521.0,6.0,,,,,
2521.0,7.0,,,,,
2522.0,1.0,,,,,
2522.0,2.0,no,,,,
2523.0,1.0,no,,,,
2523.0,2.0,,,,,
2523.0,3.0,,,,,
2523.0,4.0,no,,,,
2523.0,5.0,,,,,
2523.0,6.0,no,,,,
2524.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2524.0,2.0,,,,,
2524.0,3.0,no,,,,
2524.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2525.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2526.0,1.0,no,,,,
2526.0,2.0,,,,,
2526.0,3.0,,,,,
2527.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2527.0,2.0,,,,,
2527.0,3.0,,,,,
2528.0,1.0,,,,,
2528.0,2.0,no,,,,
2528.0,3.0,,,,,
2529.0,1.0,no,,,,
2529.0,2.0,,,,,
2530.0,1.0,no,,,,
2530.0,2.0,,,,,
2530.0,3.0,no,,,,
2530.0,4.0,,,,,
2530.0,5.0,,,,,
2530.0,6.0,,,,,
2531.0,1.0,no,,,,
2531.0,2.0,,,,,
2531.0,3.0,no,,,,
2531.0,4.0,,,,,
2531.0,5.0,no,,,,
2531.0,6.0,,,,,
2531.0,7.0,,,,,
2531.0,8.0,no,,,,
2531.0,9.0,no,,,,
2531.0,10.0,,,,,
2531.0,11.0,,,,,
2532.0,1.0,no,,,,
2532.0,2.0,no,,,,
2533.0,1.0,no,,,,
2533.0,2.0,,,,,
2533.0,3.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2533.0,4.0,no,,,,
2533.0,5.0,no,,,,
2533.0,6.0,,,,,
2533.0,7.0,,,,,
2534.0,1.0,no,,,,
2534.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2534.0,3.0,no,,,,
2534.0,4.0,no,,,,
2534.0,5.0,,,,,
2534.0,6.0,,,,,
2535.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2535.0,2.0,,,,,
2536.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2536.0,2.0,no,,,,
2536.0,3.0,,,,,
2537.0,1.0,no,,,,
2537.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2537.0,3.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2537.0,4.0,,,,,
2537.0,5.0,,,,,
2537.0,6.0,,,,,
2538.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2538.0,2.0,,,,,
2539.0,1.0,,,,,
2539.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2540.0,1.0,no,,,,
2540.0,2.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2540.0,3.0,,,,,
2541.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2541.0,2.0,,,,,
2541.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2541.0,4.0,,,,,
2542.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,
2542.0,2.0,,,,,
2542.0,3.0,no,,,,
2542.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2542.0,5.0,no,,,,
2542.0,6.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2543.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2543.0,2.0,,,,,
2544.0,1.0,no,,,,
2544.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2544.0,3.0,,,,,
2544.0,4.0,,,,,
2545.0,1.0,no,,,,
2545.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2545.0,3.0,,,,,
2546.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2546.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2546.0,3.0,no,,,,
2546.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2546.0,5.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2546.0,6.0,,,,,
2547.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,
2547.0,2.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2548.0,1.0,no,,,,
2548.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2548.0,3.0,,,,,
2549.0,1.0,no,,,,
2549.0,2.0,no,,,,
2549.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2549.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2550.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2550.0,2.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2551.0,1.0,no,,,,
2551.0,2.0,no,,,,
2551.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2551.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2552.0,1.0,,,,,
2552.0,2.0,no,,,,
2552.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2553.0,1.0,,,,,
2554.0,1.0,no,,,,
2554.0,2.0,,,,,
2554.0,3.0,,,,,
2555.0,1.0,no,,,,
2555.0,2.0,,,,,
2555.0,3.0,,,,,
2556.0,1.0,no,,,,
2556.0,2.0,,,,,
2557.0,1.0,no,,,,
2557.0,2.0,,,,,
2557.0,3.0,,,,,
2558.0,1.0,no,,,,
2558.0,2.0,,,,,
2559.0,1.0,no,,,,
2559.0,2.0,,,,,
2559.0,3.0,no,,,,
2559.0,4.0,,,,,
2560.0,1.0,no,,,,
2560.0,2.0,,,,,
2560.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2560.0,4.0,,,,,
2560.0,5.0,,,,,
2560.0,6.0,no,,,,
2560.0,7.0,,,,,
2561.0,1.0,no,,,,
2561.0,2.0,,,,,
2561.0,3.0,,,,,
2561.0,4.0,,,,,
2561.0,5.0,,,,,
2562.0,1.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2563.0,1.0,no,,,,
2563.0,2.0,,,,,
2563.0,3.0,no,,,,
2563.0,4.0,,,,,
2563.0,6.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),
2563.0,7.0,,,,,
2563.0,9.0,no,,,,
2563.0,10.0,no,,,,
2563.0,11.0,,,,,
2563.0,12.0,,,,,
2563.0,13.0,,,,,
2563.0,14.0,,,,,
2564.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2564.0,2.0,,,,,
2564.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2564.0,4.0,,,,,
2565.0,1.0,,,,,
2565.0,2.0,,,,,
2565.0,3.0,,,,,
2565.0,4.0,,,,,
2565.0,5.0,,,,,
2566.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2566.0,2.0,,,,,
2566.0,3.0,,,,,
2566.0,4.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2566.0,5.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2566.0,6.0,no,,,,
2566.0,7.0,,,,,
2566.0,8.0,,,,,
2567.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2567.0,2.0,,,,,
2567.0,3.0,,,,,
2567.0,4.0,,,,,
2567.0,5.0,,,,,
2568.0,1.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
2568.0,2.0,,,,,
2568.0,3.0,,,,,
2569.0,1.0,no,,,,
2569.0,2.0,,,,,
2570.0,1.0,no,,,,
2570.0,2.0,,,,,
2570.0,3.0,,,,,
2570.0,4.0,,,,,
2570.0,5.0,,,,,
2570.0,6.0,,,,,
2570.0,7.0,,,,,
2571.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2571.0,2.0,,,,,
2571.0,3.0,,,,,
2572.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2572.0,2.0,,,,,
2572.0,3.0,,,,,
2573.0,1.0,no,,,,
2573.0,2.0,,,,,
2573.0,3.0,no,,,,
2574.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,
2574.0,2.0,,,,,
2574.0,3.0,no,,,,
2574.0,4.0,,,,,
2574.0,5.0,,,,,
2574.0,6.0,,,,,
2575.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2575.0,2.0,,,,,
2575.0,3.0,no,,,,
2575.0,4.0,no,,,,
2575.0,5.0,no,,,,
2575.0,6.0,,,,,
2575.0,7.0,,,,,
2575.0,8.0,,,,,
2575.0,9.0,,,,,
2575.0,10.0,,,,,
2576.0,1.0,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,
2576.0,2.0,no,,,,
2576.0,3.0,no,,,,
2576.0,4.0,no,,,,
2576.0,5.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,
2576.0,6.0,no,,,,
