module,module description,variable_name,variable_description,variable_description_en,included,comments,leo comments,updated_v2,updated_v3
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d01,accidente/enfermedad s/n,accident/illness y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d02,consulto med/far/etc  s/n,consulted doctor/pharmacy/etc,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d03a,ausencias por enf. s/n,missed work/school due to illness,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d03b,cuantos dias se ausento,how many days missed,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d04,a quien consulto,whom they consulted,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d05,razon no consulto,reason for not consulting,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d06,veces consulto,number of consultations,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d07,lugar le atendieron,place where attended,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d08,tiempo de traslado lug/aten,travel time to care site,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d09a,medio de transporte - 1,transport mode to care - 1,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d09b,medio de transporte - 2,transport mode to care - 2,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d10,tiempo de espera p/consulta,wait time for appointment,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d11a,consulta - pago s/n,paid for consultation (Y/N),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d11b,consulta - monto pagado,consultation amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d12a,medicamentos - pago s/n,paid for meds (Y/N),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d12b,medicamentos - monto pagado,medication amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d13a,examenes - pago s/n,paid for tests (Y/N),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d13b,examenes - monto pagado,test amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d14a,transporte - pago s/n,paid for transport (Y/N),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d14b,transporte - monto pagado,transportation - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d15a,aparatos ort.  - pago s/n,ort devices - payment s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d15b,aparatos ort- monto pago,ort devices - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d16a,lentes/otros  - pago s/n,lenses/others - payment s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d16b,lentes/otros - monto pago,lenses/others - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d17a,lo hospitalizaron - s/n,hospitalized - s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d17b,dias de hospitalizacion,days of hospitalization,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18a,hospital - pago s/n,hospital - payment s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18b,encamamiento - monto pago,bedridden - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18c,consultas - monto pago,queries - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18d,examenes - monto pago,exams - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18e,medicinas - monto pago,medicines - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18f,transporte - monto pago,transportation - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18g,otros gastos - monto pago,other expenses - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d18t,en total - monto pago,in total - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d19a,seguro medico,medical insurance,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06d19b,cuota de seguro medico,medical insurance fee,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a01,inscrito en el 2000,"enrolled in 2000 (eg. ""no lo inscribieron"", ""kinder"")",no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a02,plantel se inscribio,"type of institution enrolled in (e.g. ""privado"")",no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a03a,inscripcion - pago s/n,paid enrollment fee (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a03b,inscripcion - monto pago,enrollment fee paid (amount),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a04a,uniformes - compro s/n,bought uniform (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a04b,uniformes - monto pago,uniforms - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a05a,utiles - compro s/n,bought school supplies (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a05b,utiles - monto pago,school supplies cost,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a06a,mensualidad - paga s/n,pays monthly fee (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a06b,mensualidad - monto paga,monthly fee amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a07a,transporte - paga s/n,transportation - pay s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a07b,transporte - monto paga,transportation - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a08a,materiales - compra s/n,materials - purchase s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a08b,materiales - monto paga,materials - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a09a,otros gastos  - s/n,other expenses - s/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07a09b,otros gastos - monto,other expenses - amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b01,lee y escribe espanol,read and write Spanish,yes,not sure whether it should be reserved. whether it is useful for literacy?,Let‚Äôs use this as a binary for the HH head.,remained,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b02a,lee y escribe idioma maya,read and write Mayan language,no,not sure whether it should be reserved. whether it is useful for literacy?,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b02b,en que idioma,in what language,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b03,edad inscripcion primaria,primary enrollment age,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b04,edad inscripcion secundaria,secondary enrollment age,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b05,inscrito  en el 2000,enrolledin 2000,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b06a,nivel educativo se inscribio,"educational level enrolled (eg. primaria, secundaria)",no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b06b,grado se inscribio,"grade was enrolled (eg. 1,2,3)",yes,,,,included to infer whether studying
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b07a,idioma le dan clases,language instruction,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b07b,cual otro idioma maya,Whether other Mayan languages are taught,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b08a,repitencia escolar -  s/n,school repetition - y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b08b,repitencia escolar - veces,school repetition - times,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b09,tipo de plantel educativo,type of educational institution (public/private),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b10,tiempo de traslado a plantel,travel time to school,no,Proxy for access to services (Guidance 5c).,,,excluded
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b11a,medio de transporte  -  1,means of transport - 1,no,a proxy for infrastructure and access.,,,excluded
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b11b,medio de transporte  -  2,means of transport - 2,no,a proxy for infrastructure and access.,,,excluded
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b12a,inscripcion - pago s/n,paid registration fee (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b12b,inscripcion - monto pago,registration - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b13a,uniformes - compro s/n,bought uniforms (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b13b,uniformes - monto pago,uniforms - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b14a,libros - compro s/n,bought books (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b14b,libros - monto pago,books - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b15,libros - como obtuvo mayoria,books - how he got the majority,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b16,libros - razon no tuvo,books - he was not right,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b17a,cuadernos/material- compro s/n,bought notebooks/materials,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b17b,cuadernos/material- monto pago,notebooks/materials - payment amount,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b18,cuad/mat - como obtuvo mayoria,how most materials were obtained,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b19a,colegiatura - paga s/n,tuition - pay y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b19b,colegiatura - monto paga,tuition - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b20a,transporte - paga s/n,transportation - pay y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b20b,transporte - monto paga,transportation - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b21a,materiales - paga s/n,materials - pay y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b21b,materiales - monto paga,materials - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b22a,otros gastos - paga s/n,other expenses - pay y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b22b,otros gastos - monto paga,other expenses - amount paid,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b23,abandono escolar s/n,school dropout y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b24,tiempo ausencia escolar,time absent from school,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b25,razon de abandono o ausencia,reason for abandonment or absence,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b26,razon de no inscricion en 2000,reason for non-registration in 2000,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b27a,ultimo grado aprobado - nivel,last grade passed - level,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b27b,ultimo grado aprobado - grado,last degree passed - degree,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b28,titulo o diploma obtenido,degree or diploma obtained (y/n),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07b29,ultimo titulo o diploma,last degree or diploma,yes,,"We want the respondent‚Äôs highest level of education. I don‚Äôt know exactly which of these fields we should use for that. I suspect it might help to examine a few of these columns to figure that out. If you already did that and decided on ‚Äúlast degree or diploma‚Äù, great! ",yes. Rechecked again. this is used as respondent's highest level of education – based on review of available columns.,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c01,capacitacion para trabajo s/n,received job training (yes/no),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c02,duracion ultimo curso,last course duration,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c03,institucion lo impartio,institution providing training,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c04,cuanto pago,amount paid for training,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c05,requisitos del curso,course prerequisites,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c06,area de capacitacion,training area,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c07,certificado o diploma s/n,certificate or diploma y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07c08,beneficios adicionales,additional benefits,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08a01a,departamento de nacimiento,department of birth,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08a01b,municipio de nacimiento,municipality of birth,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08a02,categoria del lugar de nac.,category of birthplace (urban/rural/etc),no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08b01,lugar de res hab.  junio 95,Place of residence in June 1995,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08b02a,res hab.  junio 95 - depto,Department of residence in June 1995,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08b02b,res hab.  junio 95 - mupio,Municipality of residence in June 1995,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08b03,categoria del lugar,Category of the place,no,duplicated,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08b04,grupo etnico predominante,Predominant ethnic group of the place,no,duplicated,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08b05,razon de migracion,reason for migration,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08c01,mov. residencial  u-12-m,Residential move within last 12 months,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08c02a,depto de res. temporal,Temporary residence department,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08c02b,mupio de res. temporal,Temporary residence municipality,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08c03,cat de lugar de res. temp,Category of temporary place,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08c04,razon de migracion temp.,"Reason for temporary migration	",no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08c05,tiempo de residencia,Duration of residence,no,"not sure whether it should be reserved. identify migrants or new residents, which may affect eligibility","Not verifiable, drop",excluded,
ECV28A16.DTA,Agricultural equipment and facilities,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV28A16.DTA,Agricultural equipment and facilities,area,area  urbana/rural,urban/rural area,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,factor,factor de expansion,expansion factor,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,hogar,numero de hogar,household number,yes,,,,
ECV28A16.DTA,Agricultural equipment and facilities,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,caso,no. de unidad de produccion agropecuaria,Agricultural production unit number,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,tipo,tipo de upas,Type of production unit,yes,can be used for dummy analysis,,,
ECV28A16.DTA,Agricultural equipment and facilities,clase,grupo equipo/instalacion,Equipment/facility group,no,,,,excluded but retained the detailed item variable
ECV28A16.DTA,Agricultural equipment and facilities,item,equipo/instalacion,Specific equipment/facility,yes,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g01,tiene actualmente,Currently owns (Yes/No),yes,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g02,cantidad tiene,Quantity owned,yes,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g03,cuantos compro ultimos  12 meses,Number purchased in last 12 months,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g04,aÑos tiene el ultimo,Age of the most recent one,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g05,funciona actualmente,Currently working (Yes/No),no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g06a,fue donado / regalado,Donated/gifted (Yes/No),no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g06b,valor de la donacion/regalo,donation/gift value,no,,,,
ECV28A16.DTA,Agricultural equipment and facilities,p16g07,valor de venta total,Value of the donation,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,area,area  urbana/rural,urban/rural area,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,factor,factor de expansion,expansion factor,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,hogar,numero de hogar,household number,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,ph03,hogar numero,home number,no,This is a structural variable that is primarily used to identify multiple families living within the same unit,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a01,tipo de vivienda,type of housing,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a02,material  pared,wall material,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a03,material techo,roof material,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a04,material piso,floor material,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a05a,coneccion de agua,water connection,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a05b,coneccion de drenaje,drain connection,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a05c,coneccion de electricidad,electricity connection,yes,"a little bit disputed, but if it is a landline phone, it can be regarded as infrastructure and retained for the time being",,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a05d,coneccion de telefono,phone connection,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a05e,contador de agua,water meter,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a05f,contador de electricidad,electricity meter,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a06,total cuartos,total rooms,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a07,cuartos del hogar,home rooms,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a08,no. de dormitorios,No. of bedrooms,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a09,cuartos de negocios,business rooms,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a10,donde cocina,cooking place,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a11,cocina exclusiva,exclusive kitchen,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a12,donde obtiene agua,where do you get water,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a13,exclusividad   agua,water exclusivity,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a14,servicio de agua,water service,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a15,tiempo serv. agua,time served water,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a16a,cant. agua - valor,qty water - value,no,Water consumption (subjective estimate),,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a16b,cant. agua - umedida,qty water - umeasurement,no,"Structural variables, no predictive value",,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a16c,cant. agua - equiv/litros,qty water - equiv/liters,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a17,pago agua - valor,water payment - value,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a17a,pago agua - %  es agua,water payment - % is water,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a18,dias sin agua,days without water,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a19,horas diarias con agua,hours daily with water,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a20a,lugar del agua  dist. metros,place of water dist. meters,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a20c,lug del agua  tiempo-horas,water lug time-hours,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a20d,lug del agua  tiempo-minutos,water lug time-minutes,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a21,medio transporte agua,means of water transport,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a22a,personas traen agua - 1,people bring water - 1,no,These variables identify specific individuals who collect water. This level of detail is not recommended for PMT models due to low verifiability and poor generalizability across households,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a22b,personas traen agua - 2,people bring water - 2,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a22c,personas traen agua - 3,people bring water - 3,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a23,uso agua de cisterna,use cistern water,yes,Can be seen as an alternative indicator of a lack of conventional water sources,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a24,cuanto pago por cisterna,how much do I pay per tanker,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a25,tratamiento del agua,water treatment,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a26,tipo de sanitario,Type of toilet facility,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a27,exclusividad  serv. sanitario,Exclusive use of toilet facility,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a28,aÑos dispone serv. sanitario,Years of access to toilet facility,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a29a,servicio de telefono fijo,Fixed-line telephone service,no,"not sure. is it outdated, no longer universal or representative?",we don‚Äôt include this (falls in the same category as internet connectivity; not verifiable enough),excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a29b,servicio de telefono celular,cell phone service,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a29c,servicio de beeper,beeper service,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a29d,servicio de internet,internet service,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a29e,servicio de  tv cable,cable tv service,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a30a,pago por serv. telefono fijo,Payment for fixed-line phone service,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a30b,pago por serv. telefono cel.,payment for service cell phone,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a30c,pago por serv. beeper,payment for service beeper,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a30d,pago por serv. internet,payment for service Internet,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a30e,pago por serv.  tv cable,payment for service cable tv,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a31,prov. servicio telefono - 1,Telephone service provider – 1,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a31a,prov. servicio telefono - 2,Telephone service provider – 2,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a32,forma elimina basura,Method of garbage disposal,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a33,paga por eliminacion basura,Pays for garbage collection,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a33a,valor pago elim. basura,Amount paid for garbage collection,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a34,uso electricidad,Uses electricity,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a35,prov. electricidad,Source/provider of electricity,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a36,cortes de serv electrico,electrical service outages,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a37,dias sin serv electricidad,days without electricity,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a38,horas al dia con electricidad,hours a day with electricity,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a39,uso leÑa,use of firewood,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a40,como obtiene leÑa,how firewood is obtained,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a41a,lugar trae leÑa - dist metros,Distance to collect firewood (meters),no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a41c,lugar trae leÑa - horas,Time to collect firewood - hours,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a41d,lugar trae leÑa - minutos,Time to collect firewood - minutes,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a42,como transporta leÑa,how to transport firewood,no,,"drop, unverifiable",excluded,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a43a,persona traen leÑa - 1,person bring firewood - 1,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a43b,persona traen leÑa - 2,person bring firewood - 2,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a43c,persona traen leÑa - 3,person bring firewood - 3,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a44,solo traen leÑa,Firewood is the only fuel used,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01a45,existe chimenea en cocina,Kitchen has chimney,yes,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c01,tenecia de la vivienda,Housing tenure / Housing ownership status - only need binary for owning house,yes,,"We only want the binary ‚Äúowns house‚Äù variable, not any more detail or tenure",ok. well received,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c02,documento de propiedad,Property ownership document,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c03a,persona  dueno - 1,owner person - 1,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c03b,persona  dueno - 2,owner person - 2,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c03c,persona  dueno - 3,owner person - 3,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c04,razon no tiene documento,reason there is no document,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c05,adquirio vivienda construida,Acquired already-built house,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c06a1,hombre adulto del hogar,Adult men in the household,no,duplicated,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c06a2,hombre adulto familiar,Adult male relative,no,,,,
ECV01H01.DTA,Housing Characteristics and Housing Situation,p01c06a3,hombre adulto vecino/amigo,Neighbor/friend (male),no,,,,
